question,answer,Source,Metadata,SuggestedQuestions,IsContextOnly,Prompts,QnaId
What are Novacept’s product offerings?,"{""type"":""AdaptiveCard"",""body"":[{""type"":""TextBlock"",""text"":""We can help you tailor the AI capabilities that we provide through our products to meet your Business Needs.                                           "",""wrap"":true},{""type"":""TextBlock"",""text"":""Please feel free to set up a meeting with our colleagues."",""wrap"":true},{""type"":""ActionSet"",""actions"":[{""type"":""Action.OpenUrl"",""title"":""Book a meeting"",""url"":""https://outlook.office365.com/owa/calendar/Novacept1@novacept.io/bookings/"",""style"":""positive""}]}],""$schema"":""http://adaptivecards.io/schemas/adaptive-card.json"",""version"":""1.2""} /??/ {""type"":""AdaptiveCard"",""$schema"":""http://adaptivecards.io/schemas/adaptive-card.json"",""version"":""1.2"",""backgroundImage"":{""url"":""https://outlook.office365.com/owa/calendar/Novacept1@novacept.io/bookings/""},""selectAction"":{""type"":""Action.OpenUrl"",""url"":""https://outlook.office365.com/owa/calendar/Novacept1@novacept.io/bookings/""},""actions"":[{""type"":""Action.OpenUrl"",""title"":""Pick a slot"",""url"":""https://outlook.office365.com/owa/calendar/Novacept1@novacept.io/bookings/""}],""body"":[{""type"":""TextBlock"",""text"":""Please book your meeting with us:"",""wrap"":true}]}",Editorial,en:true,[],FALSE,[],81
Products,"{""type"":""AdaptiveCard"",""body"":[{""type"":""TextBlock"",""text"":""We can help you tailor the AI capabilities that we provide through our products to meet your Business Needs.                                           "",""wrap"":true},{""type"":""TextBlock"",""text"":""Please feel free to set up a meeting with our colleagues."",""wrap"":true},{""type"":""ActionSet"",""actions"":[{""type"":""Action.OpenUrl"",""title"":""Book a meeting"",""url"":""https://outlook.office365.com/owa/calendar/Novacept1@novacept.io/bookings/"",""style"":""positive""}]}],""$schema"":""http://adaptivecards.io/schemas/adaptive-card.json"",""version"":""1.2""}",Editorial,en:true,[],FALSE,[],81
Product Offerings,"{""type"":""AdaptiveCard"",""body"":[{""type"":""TextBlock"",""text"":""We can help you tailor the AI capabilities that we provide through our products to meet your Business Needs.                                           "",""wrap"":true},{""type"":""TextBlock"",""text"":""Please feel free to set up a meeting with our colleagues."",""wrap"":true},{""type"":""ActionSet"",""actions"":[{""type"":""Action.OpenUrl"",""title"":""Book a meeting"",""url"":""https://outlook.office365.com/owa/calendar/Novacept1@novacept.io/bookings/"",""style"":""positive""}]}],""$schema"":""http://adaptivecards.io/schemas/adaptive-card.json"",""version"":""1.2""}",Editorial,en:true,[],FALSE,[],81
What have you Built,"{""type"":""AdaptiveCard"",""body"":[{""type"":""TextBlock"",""text"":""We can help you tailor the AI capabilities that we provide through our products to meet your Business Needs.                                           "",""wrap"":true},{""type"":""TextBlock"",""text"":""Please feel free to set up a meeting with our colleagues."",""wrap"":true},{""type"":""ActionSet"",""actions"":[{""type"":""Action.OpenUrl"",""title"":""Book a meeting"",""url"":""https://outlook.office365.com/owa/calendar/Novacept1@novacept.io/bookings/"",""style"":""positive""}]}],""$schema"":""http://adaptivecards.io/schemas/adaptive-card.json"",""version"":""1.2""}",Editorial,en:true,[],FALSE,[],81
Product Capability,"{""type"":""AdaptiveCard"",""body"":[{""type"":""TextBlock"",""text"":""We can help you tailor the AI capabilities that we provide through our products to meet your Business Needs.                                           "",""wrap"":true},{""type"":""TextBlock"",""text"":""Please feel free to set up a meeting with our colleagues."",""wrap"":true},{""type"":""ActionSet"",""actions"":[{""type"":""Action.OpenUrl"",""title"":""Book a meeting"",""url"":""https://outlook.office365.com/owa/calendar/Novacept1@novacept.io/bookings/"",""style"":""positive""}]}],""$schema"":""http://adaptivecards.io/schemas/adaptive-card.json"",""version"":""1.2""}",Editorial,en:true,[],FALSE,[],81
What have you Built/ Developed,"{""type"":""AdaptiveCard"",""body"":[{""type"":""TextBlock"",""text"":""We can help you tailor the AI capabilities that we provide through our products to meet your Business Needs.                                           "",""wrap"":true},{""type"":""TextBlock"",""text"":""Please feel free to set up a meeting with our colleagues."",""wrap"":true},{""type"":""ActionSet"",""actions"":[{""type"":""Action.OpenUrl"",""title"":""Book a meeting"",""url"":""https://outlook.office365.com/owa/calendar/Novacept1@novacept.io/bookings/"",""style"":""positive""}]}],""$schema"":""http://adaptivecards.io/schemas/adaptive-card.json"",""version"":""1.2""}",Editorial,en:true,[],FALSE,[],81
Who do I connect with for further enquiry?,"{""type"":""AdaptiveCard"",""$schema"":""http://adaptivecards.io/schemas/adaptive-card.json"",""version"":""1.2"",""backgroundImage"":{""url"":""https://outlook.office365.com/owa/calendar/Novacept1@novacept.io/bookings/""},""selectAction"":{""type"":""Action.OpenUrl"",""url"":""https://outlook.office365.com/owa/calendar/Novacept1@novacept.io/bookings/""},""actions"":[{""type"":""Action.OpenUrl"",""title"":""Pick a slot"",""url"":""https://outlook.office365.com/owa/calendar/Novacept1@novacept.io/bookings/""}],""body"":[{""type"":""TextBlock"",""text"":""Please book your meeting with us:"",""wrap"":true}]}",Editorial,en:true,[],FALSE,"[{""DisplayOrder"":1,""QnaId"":178,""DisplayText"":""May be Later""}]",82
How can I sign in for a demo of the products mentioned in your website ?,"{""type"":""AdaptiveCard"",""$schema"":""http://adaptivecards.io/schemas/adaptive-card.json"",""version"":""1.2"",""backgroundImage"":{""url"":""https://outlook.office365.com/owa/calendar/Novacept1@novacept.io/bookings/""},""selectAction"":{""type"":""Action.OpenUrl"",""url"":""https://outlook.office365.com/owa/calendar/Novacept1@novacept.io/bookings/""},""actions"":[{""type"":""Action.OpenUrl"",""title"":""Pick a slot"",""url"":""https://outlook.office365.com/owa/calendar/Novacept1@novacept.io/bookings/""}],""body"":[{""type"":""TextBlock"",""text"":""Please book your meeting with us:"",""wrap"":true}]}",Editorial,en:true,[],FALSE,"[{""DisplayOrder"":1,""QnaId"":178,""DisplayText"":""May be Later""}]",82
Sign up for a demo,"{""type"":""AdaptiveCard"",""$schema"":""http://adaptivecards.io/schemas/adaptive-card.json"",""version"":""1.2"",""backgroundImage"":{""url"":""https://outlook.office365.com/owa/calendar/Novacept1@novacept.io/bookings/""},""selectAction"":{""type"":""Action.OpenUrl"",""url"":""https://outlook.office365.com/owa/calendar/Novacept1@novacept.io/bookings/""},""actions"":[{""type"":""Action.OpenUrl"",""title"":""Pick a slot"",""url"":""https://outlook.office365.com/owa/calendar/Novacept1@novacept.io/bookings/""}],""body"":[{""type"":""TextBlock"",""text"":""Please book your meeting with us:"",""wrap"":true}]}",Editorial,en:true,[],FALSE,"[{""DisplayOrder"":1,""QnaId"":178,""DisplayText"":""May be Later""}]",82
Set up a demo,"{""type"":""AdaptiveCard"",""$schema"":""http://adaptivecards.io/schemas/adaptive-card.json"",""version"":""1.2"",""backgroundImage"":{""url"":""https://outlook.office365.com/owa/calendar/Novacept1@novacept.io/bookings/""},""selectAction"":{""type"":""Action.OpenUrl"",""url"":""https://outlook.office365.com/owa/calendar/Novacept1@novacept.io/bookings/""},""actions"":[{""type"":""Action.OpenUrl"",""title"":""Pick a slot"",""url"":""https://outlook.office365.com/owa/calendar/Novacept1@novacept.io/bookings/""}],""body"":[{""type"":""TextBlock"",""text"":""Please book your meeting with us:"",""wrap"":true}]}",Editorial,en:true,[],FALSE,"[{""DisplayOrder"":1,""QnaId"":178,""DisplayText"":""May be Later""}]",82
